name	Sample	OTU	effect	mean_Precision	mean_TPR
Corncob	100	800	5	0.3908298	0.1891875
Corncob	200	100	1	0.005	5.00E-04
Corncob	200	100	10	0.156755203	0.9615
Corncob	200	100	2	0.323713567	0.3455
Corncob	200	100	5	0.218612118	0.8485
Corncob	200	1000	1	0.01	1.00E-04
Corncob	200	1000	10	0.339414492	0.5717
Corncob	200	1000	2	0.389430893	0.061
Corncob	200	1000	5	0.373324875	0.3619
Corncob	200	200	1	0.01	5.00E-04
Corncob	200	200	10	0.202639623	0.87525
Corncob	200	200	2	0.365919527	0.23125
Corncob	200	200	5	0.275122696	0.721
Corncob	200	2000	1	0.014166667	0.00025
Corncob	200	2000	10	0.36944531	0.448425
Corncob	200	2000	2	0.40740127	0.04175
Corncob	200	2000	5	0.385459103	0.268575
Corncob	200	300	1	0	0
Corncob	200	300	10	0.230524129	0.803
Corncob	200	300	2	0.386086556	0.1485
Corncob	200	300	5	0.301572799	0.594666667
Corncob	200	400	1	0.0025	0.000125
Corncob	200	400	10	0.220973632	0.82025
Corncob	200	400	2	0.394440515	0.159375
Corncob	200	400	5	0.297969553	0.617625
Corncob	200	500	1	0.006666667	2.00E-04
Corncob	200	500	10	0.218293007	0.8311
Corncob	200	500	2	0.374925367	0.1703
Corncob	200	500	5	0.285103825	0.6312
Corncob	200	800	1	0.005	6.25E-05
Corncob	200	800	10	0.343247152	0.559375
Corncob	200	800	2	0.403654998	0.0608125
Corncob	200	800	5	0.377903109	0.36375
Corncob	300	100	1	0.006666667	0.001
Corncob	300	100	10	0.137448587	0.9815
Corncob	300	100	2	0.299162391	0.486
Corncob	300	100	5	0.186780027	0.922
Corncob	300	1000	1	0	0
Corncob	300	1000	10	0.283996524	0.68045
Corncob	300	1000	2	0.390674336	0.10735
Corncob	300	1000	5	0.347815826	0.4899
Corncob	300	200	1	0	0
Corncob	300	200	10	0.171553142	0.9345
Corncob	300	200	2	0.360312674	0.3555
Corncob	300	200	5	0.235882764	0.8075
Corncob	300	2000	1	0	0
Corncob	300	2000	10	0.328960345	0.562025
Corncob	300	2000	2	0.400488486	0.0778
Corncob	300	2000	5	0.371695205	0.37205
Corncob	300	300	1	0.0175	0.000666667
Corncob	300	300	10	0.193773446	0.8725
Corncob	300	300	2	0.359871307	0.24
Corncob	300	300	5	0.264107686	0.716
Corncob	300	400	1	0	0
Corncob	300	400	10	0.182867886	0.892375
Corncob	300	400	2	0.358774935	0.251125
Corncob	300	400	5	0.257996013	0.74075
Corncob	300	500	1	0.01	2.00E-04
Corncob	300	500	10	0.17473642	0.8996
Corncob	300	500	2	0.358237343	0.2601
Corncob	300	500	5	0.253658781	0.7474
Corncob	300	800	1	0.002	0.000125
Corncob	300	800	10	0.283090931	0.67875
Corncob	300	800	2	0.401772556	0.114875
Corncob	300	800	5	0.346231147	0.47025
Corncob	500	100	1	0	0
Corncob	500	100	10	0.120929052	0.993
Corncob	500	100	2	0.283463078	0.6475
Corncob	500	100	5	0.153177779	0.969
Corncob	500	1000	1	0.005	5.00E-05
Corncob	500	1000	10	0.205441064	0.8168
Corncob	500	1000	2	0.378170853	0.19765
Corncob	500	1000	5	0.287096647	0.63545
Corncob	500	200	1	0.005	5.00E-04
Corncob	500	200	10	0.141070861	0.96625
Corncob	500	200	2	0.319257257	0.4865
Corncob	500	200	5	0.192059267	0.8915
Corncob	500	2000	1	0	0
Corncob	500	2000	10	0.252220026	0.707425
Corncob	500	2000	2	0.397468045	0.146575
Corncob	500	2000	5	0.321201041	0.5089
Corncob	500	300	1	0.000833333	0.000166667
Corncob	500	300	10	0.151391103	0.941
Corncob	500	300	2	0.337052794	0.380166667
Corncob	500	300	5	0.213577154	0.83
Corncob	500	400	1	0	0
