name	Sample	OTU	effect	mean_TPR	mean_FPR
ALDEx2_wi	300	500	5	0.6663	0.063888889
ALDEx2_wi	300	800	1	0	5.56E+06
ALDEx2_wi	300	800	10	0.519125	0.069244444
ALDEx2_wi	300	800	2	0.124125	0.015877778
ALDEx2_wi	300	800	5	0.39525	0.053511111
ALDEx2_wi	500	100	1	0	1.11E-05
ALDEx2_wi	500	100	10	0.9665	0.046005556
ALDEx2_wi	500	100	2	0.514	0.010838889
ALDEx2_wi	500	100	5	0.9055	0.03245
ALDEx2_wi	500	1000	1	0	0
ALDEx2_wi	500	1000	10	0.6044	0.103144444
ALDEx2_wi	500	1000	2	0.1917	0.032122222
ALDEx2_wi	500	1000	5	0.4894	0.082355556
ALDEx2_wi	500	200	1	5.00E-04	5.56E+06
ALDEx2_wi	500	200	10	0.91	0.075916667
ALDEx2_wi	500	200	2	0.48	0.028311111
ALDEx2_wi	500	200	5	0.83525	0.0614
ALDEx2_wi	500	2000	1	0	0
ALDEx2_wi	500	2000	10	0.435875	0.145188889
ALDEx2_wi	500	2000	2	0.13005	0.042238889
ALDEx2_wi	500	2000	5	0.333075	0.112516667
ALDEx2_wi	500	300	1	0	5.56E+06
ALDEx2_wi	500	300	10	0.850833333	0.059383333
ALDEx2_wi	500	300	2	0.392166667	0.020572222
ALDEx2_wi	500	300	5	0.750333333	0.047127778
ALDEx2_wi	500	400	1	0	0
ALDEx2_wi	500	400	10	0.856125	0.081172222
ALDEx2_wi	500	400	2	0.393125	0.027527778
ALDEx2_wi	500	400	5	0.768375	0.064716667
ALDEx2_wi	500	500	1	1.00E-04	5.56E+06
ALDEx2_wi	500	500	10	0.8489	0.099905556
ALDEx2_wi	500	500	2	0.3879	0.034822222
ALDEx2_wi	500	500	5	0.7717	0.08005
ALDEx2_wi	500	800	1	6.25E-05	0
ALDEx2_wi	500	800	10	0.6094375	0.083838889
ALDEx2_wi	500	800	2	0.1959375	0.0267
ALDEx2_wi	500	800	5	0.4873125	0.066538889
Corncob	20	200	1	0.001	6.67E-05
Corncob	20	100	1	0.005	7.22E-05
Corncob	20	100	10	0.27	0.006822222
Corncob	20	100	2	0.033	0.000438889
Corncob	20	100	5	0.151	0.003505556
Corncob	20	1000	1	0.00055	7.78E-05
Corncob	20	1000	10	0.0526	0.008388889
Corncob	20	1000	2	0.00155	0.000316667
Corncob	20	1000	5	0.02075	0.0033
Corncob	20	2000	1	1.00E-04	1.11E-05
Corncob	20	2000	10	0.0368	0.011822222
Corncob	20	2000	2	0.00165	0.000533333
Corncob	20	2000	5	0.01285	0.004366667
Corncob	20	300	1	0.0015	3.89E-05
Corncob	20	300	10	0.105166667	0.005438889
Corncob	20	300	2	0.004166667	0.000388889
Corncob	20	300	5	0.055	0.002427778
Corncob	20	400	1	0.000625	4.44E-05
Corncob	20	400	10	0.11075	0.007455556
Corncob	20	400	2	0.0055	0.000533333
Corncob	20	400	5	0.042625	0.002911111
Corncob	20	500	1	6.00E-04	7.22E-05
Corncob	20	500	10	0.1151	0.0098
Corncob	20	500	2	0.0058	0.000422222
Corncob	20	500	5	0.0536	0.00435
Corncob	20	800	1	6.25E-05	3.33E-05
Corncob	20	800	10	0.0505	0.006872222
Corncob	20	800	2	0.0015	0.000244444
Corncob	20	800	5	0.0195625	0.002811111
Corncob	20	200	2	0.00975	0.000355556
Corncob	20	200	5	0.08625	0.003044444
Corncob	20	200	10	0.1725	0.006394444
Corncob	50	100	1	0.002	7.22E-05
Corncob	50	100	10	0.6565	0.021411111
Corncob	50	100	2	0.0545	0.001227778
Corncob	50	100	5	0.409	0.010905556
Corncob	50	1000	1	2.00E-04	2.22E-05
Corncob	50	1000	10	0.1744	0.0285
Corncob	50	1000	2	0.003	0.000611111
Corncob	50	1000	5	0.07315	0.012144444
Corncob	50	200	1	5.00E-04	3.33E-05
Corncob	50	200	10	0.4525	0.019555556
Corncob	50	200	2	0.02725	0.000933333
Corncob	50	200	5	0.268	0.009422222
Corncob	50	2000	1	0	2.22E-05
Corncob	50	2000	10	0.128675	0.042611111
Corncob	50	2000	2	0.00245	0.000894444
Corncob	50	2000	5	0.05175	0.017911111
Corncob	50	300	1	0	0
Corncob	50	300	10	0.346	0.019677778
Corncob	50	300	2	0.01	0.000555556
Corncob	50	300	5	0.160333333	0.00855
Corncob	50	400	1	0.00025	4.44E-05
Corncob	50	400	10	0.349	0.026694444
Corncob	50	400	2	0.010375	0.000705556
Corncob	50	400	5	0.1695	0.011911111
Corncob	50	500	1	3.00E-04	5.56E+06
Corncob	50	500	10	0.3729	0.03505
Corncob	50	500	2	0.0132	0.001116667
Corncob	50	500	5	0.1729	0.015722222
Corncob	50	800	1	0	0
Corncob	50	800	10	0.1709375	0.022594444
Corncob	50	800	2	0.005	0.000594444
Corncob	50	800	5	0.0694375	0.0094
Corncob	100	100	1	0.0015	5.56E-05
Corncob	100	100	10	0.841	0.038827778
Corncob	100	100	2	0.1735	0.003972222
Corncob	100	100	5	0.652	0.022244444
Corncob	100	1000	1	0	1.67E-05
Corncob	100	1000	10	0.35935	0.0634
Corncob	100	1000	2	0.0176	0.002716667
Corncob	100	1000	5	0.1956	0.033011111
Corncob	100	200	1	0.001	6.67E-05
Corncob	100	200	10	0.7215	0.044394444
Corncob	100	200	2	0.0875	0.003516667
Corncob	100	200	5	0.48675	0.022438889
Corncob	100	2000	1	0	0
Corncob	100	2000	10	0.27	0.092538889
Corncob	100	2000	2	0.011625	0.003983333
Corncob	100	2000	5	0.1405	0.046972222
Corncob	100	300	1	0	5.56E+06
Corncob	100	300	10	0.596666667	0.045183333
Corncob	100	300	2	0.05	0.002727778
Corncob	100	300	5	0.375166667	0.022855556
Corncob	100	400	1	0	0
