name	Sample	OTU	type	effect	mean_TPR	mean_FPR
Corncob	500	100	rare	10	0.285	0.008977778
Corncob	500	100	rare	2	0.0975	0.0027
Corncob	500	100	rare	5	0.25	0.006777778
Corncob	100	1000	rare	1	0	5.56E-06
Corncob	100	1000	rare	10	0	2.78E-05
Corncob	100	1000	rare	2	0	1.11E-05
Corncob	100	1000	rare	5	0	5.56E-06
Corncob	20	1000	rare	1	0	3.89E-05
Corncob	20	1000	rare	10	0	5.56E-05
Corncob	20	1000	rare	2	0	2.78E-05
Corncob	20	1000	rare	5	0	6.67E-05
Corncob	200	1000	rare	1	0	3.33E-05
Corncob	200	1000	rare	10	0	0
Corncob	200	1000	rare	2	0	5.56E-06
Corncob	200	1000	rare	5	0	0
Corncob	300	1000	rare	1	0	2.78E-05
Corncob	300	1000	rare	10	0.00015	8.89E-05
Corncob	300	1000	rare	2	0	0
Corncob	300	1000	rare	5	0	7.22E-05
Corncob	50	1000	rare	1	0	5.56E-06
Corncob	50	1000	rare	10	0	1.11E-05
Corncob	50	1000	rare	2	0	1.11E-05
Corncob	50	1000	rare	5	0	5.56E-06
Corncob	500	1000	rare	1	0	3.89E-05
Corncob	500	1000	rare	10	0.04135	0.015844444
Corncob	500	1000	rare	2	0	3.33E-05
Corncob	500	1000	rare	5	0.00725	0.003644444
Corncob	100	200	rare	1	0	6.11E-05
Corncob	100	200	rare	10	0.0135	0.000944444
Corncob	100	200	rare	2	0.00025	1.67E-05
Corncob	100	200	rare	5	0.0025	0.000172222
Corncob	20	200	rare	1	0	7.78E-05
Corncob	20	200	rare	10	0	0.000116667
Corncob	20	200	rare	2	0	4.44E-05
Corncob	20	200	rare	5	0	0.000111111
Corncob	200	200	rare	1	0	7.78E-05
Corncob	200	200	rare	10	0.11	0.006994444
Corncob	200	200	rare	2	0.001	0.000116667
Corncob	200	200	rare	5	0.034	0.002083333
Corncob	300	200	rare	1	0	3.89E-05
Corncob	300	200	rare	10	0.16775	0.010838889
Corncob	300	200	rare	2	0.00225	0.000311111
Corncob	300	200	rare	5	0.08025	0.005505556
Corncob	50	200	rare	1	0	6.11E-05
Corncob	50	200	rare	10	0	6.67E-05
Corncob	50	200	rare	2	0	7.22E-05
Corncob	50	200	rare	5	0	5.56E-05
Corncob	500	200	rare	1	0	9.44E-05
Corncob	500	200	rare	10	0	0.020211111
Corncob	500	200	rare	2	0	0.001527778
Corncob	500	200	rare	5	0	0.014583333
Corncob	100	2000	rare	1	0	1.67E-05
Corncob	100	2000	rare	10	0	2.22E-05
Corncob	100	2000	rare	2	0	1.11E-05
Corncob	100	2000	rare	5	0	3.33E-05
Corncob	20	2000	rare	1	0	3.89E-05
Corncob	20	2000	rare	10	0	2.22E-05
Corncob	20	2000	rare	2	0	0.000116667
Corncob	20	2000	rare	5	0	0.00015
Corncob	200	2000	rare	1	0	4.44E-05
Corncob	200	2000	rare	10	0	0
Corncob	200	2000	rare	2	0	5.56E-06
Corncob	200	2000	rare	5	0	0
Corncob	300	2000	rare	1	0	1.67E-05
Corncob	300	2000	rare	10	0	1.67E-05
Corncob	300	2000	rare	2	0	1.11E-05
Corncob	300	2000	rare	5	0	5.56E-06
Corncob	50	2000	rare	1	0	1.11E-05
Corncob	50	2000	rare	10	0	1.67E-05
Corncob	50	2000	rare	2	0	1.11E-05
Corncob	50	2000	rare	5	0	3.89E-05
Corncob	500	2000	rare	1	0	2.78E-05
Corncob	500	2000	rare	10	4.00E-04	0.000694444
Corncob	500	2000	rare	2	0	5.56E-06
Corncob	500	2000	rare	5	2.50E-05	0.000144444
Corncob	100	300	rare	1	0	2.78E-05
Corncob	100	300	rare	10	0	4.44E-05
Corncob	100	300	rare	2	0	1.11E-05
Corncob	100	300	rare	5	0	5.56E-05
Corncob	20	300	rare	1	0	5.56E-05
Corncob	20	300	rare	10	0	9.44E-05
Corncob	20	300	rare	2	0	4.44E-05
Corncob	20	300	rare	5	0	5.00E-05
Corncob	200	300	rare	1	0	3.33E-05
Corncob	200	300	rare	10	0.0325	0.003105556
Corncob	200	300	rare	2	0	6.11E-05
Corncob	200	300	rare	5	0.006833333	0.000555556
Corncob	300	300	rare	1	0.000166667	4.44E-05
Corncob	300	300	rare	10	0.165333333	0.012855556
Corncob	300	300	rare	2	0.001	0.000188889
Corncob	300	300	rare	5	0.039666667	0.003833333
Corncob	50	300	rare	1	0	2.22E-05
Corncob	50	300	rare	10	0	1.11E-05
Corncob	50	300	rare	2	0	2.78E-05
Corncob	50	300	rare	5	0	5.00E-05
Corncob	500	300	rare	1	0.000666667	8.33E-05
Corncob	500	300	rare	10	0.255333333	0.021016667
Corncob	500	300	rare	2	0.003333333	0.000438889
Corncob	500	300	rare	5	0.1505	0.012433333
Corncob	100	400	rare	1	0	5.00E-05
Corncob	100	400	rare	10	0.000125	5.00E-05
Corncob	100	400	rare	2	0	4.44E-05
Corncob	100	400	rare	5	0	1.11E-05
Corncob	20	400	rare	1	0	0.000166667
Corncob	20	400	rare	10	0	3.33E-05
Corncob	20	400	rare	2	0	0.000111111
Corncob	20	400	rare	5	0	0.000105556
Corncob	200	400	rare	1	0	2.22E-05
Corncob	200	400	rare	10	0.0385	0.004388889
Corncob	200	400	rare	2	0	6.11E-05
Corncob	200	400	rare	5	0.004625	0.000838889
Corncob	300	400	rare	1	0	7.22E-05
